0. n_hidden = 12, n_hidden_layers = 3, lr = 0.001, n_epochs = 1000, batch_size = 4, sigmoid_rate = 0, MSE = 29904
1. n_hidden = 13, n_hidden_layers = 3, lr = 0.001, n_epochs = 1700, batch_size = 4, sigmoid_rate = 0, MSE = 34739
2. n_hidden = 13, n_hidden_layers = 3, lr = 0.001, n_epochs = 3000, batch_size = 4, sigmoid_rate = 0, MSE = 28975
3. n_hidden = 13, n_hidden_layers = 3, lr = 0.001, n_epochs = 3000, batch_size = 4, sigmoid_rate = 0, MSE = 17191
4. n_hidden = 14, n_hidden_layers = 3, lr = 0.0005, n_epochs = 3000, batch_size = 4, sigmoid_rate = 0, MSE = 23943
5. n_hidden = 10, n_hidden_layers = 4, lr = 0.001, n_epochs = 3000, batch_size = 3, sigmoid_rate = 0, MSE = 35493
6. n_hidden = 7, n_hidden_layers = 4, lr = 0.001, n_epochs = 3200, batch_size = 3, sigmoid_rate = 0, MSE = 14984
7. n_hidden = 6, n_hidden_layers = 4, lr = 0.001, n_epochs = 3200, batch_size = 3, sigmoid_rate = 0, MSE = 33824
8. n_hidden = 8, n_hidden_layers = 4, lr = 0.001, n_epochs = 3200, batch_size = 1, sigmoid_rate = 0, MSE = 19187
9. n_hidden = 5, n_hidden_layers = 5, lr = 0.001, n_epochs = 3200, batch_size = 4, sigmoid_rate = 0, MSE = 15660
10. n_hidden = 6, n_hidden_layers = 5, lr = 0.001, n_epochs = 4000, batch_size = 3, sigmoid_rate = 0, MSE = 420996
11. n_hidden = 4, n_hidden_layers = 5, lr = 0.001, n_epochs = 4000, batch_size = 4, sigmoid_rate = 0, MSE = 32621
12. n_hidden = 5, n_hidden_layers = 5, lr = 0.001, n_epochs = 4000, batch_size = 4, sigmoid_rate = 0.5, MSE = 32860
13. n_hidden = 5, n_hidden_layers = 5, lr = 0.001, n_epochs = 15000, batch_size = 4, sigmoid_rate = 0.5, MSE = 11875
14. n_hidden = 5, n_hidden_layers = 5, lr = 0.001, n_epochs = 15000, batch_size = 8, sigmoid_rate = 0.5, MSE = 29007
15. n_hidden = 7, n_hidden_layers = 4, lr = 0.001, n_epochs = 3200, batch_size = 2, sigmoid_rate = 0.5, MSE = 18808
16. n_hidden = 11, n_hidden_layers = 3, lr = 0.001, n_epochs = 3200, batch_size = 1, sigmoid_rate = 0.6, MSE = 32984
17. n_hidden = 11, n_hidden_layers = 1, lr = 0.001, n_epochs = 3200, batch_size = 1, sigmoid_rate = 0.4, MSE = 10826
18. n_hidden = 12, n_hidden_layers = 1, lr = 0.001, n_epochs = 3200, batch_size = 1, sigmoid_rate = 0.4, MSE = 23245
19. n_hidden = 10, n_hidden_layers = 1, lr = 0.001, n_epochs = 3200, batch_size = 1, sigmoid_rate = 0.4, MSE = 45512
20. n_hidden = 5, n_hidden_layers = 5, lr = 0.001, n_epochs = 1200, batch_size = 2, sigmoid_rate = 0.4, MSE = 30459
21. n_hidden = 5, n_hidden_layers = 5, lr = 0.001, n_epochs = 2500, batch_size = 2, sigmoid_rate = 0.4, MSE = 32249
22. n_hidden = 13, n_hidden_layers = 3, lr = 0.0003, n_epochs = 2500, batch_size = 2, sigmoid_rate = 0.4, MSE = 56659
