0. n_hidden = 7, n_hidden_layers = 4, lr = 0.001, n_epochs = 100, batch_size = 1, sigmoid_rate = 0, accuracy: 0.892
1. n_hidden = 7, n_hidden_layers = 4, lr = 0.001, n_epochs = 100, batch_size = 1, sigmoid_rate = 0, accuracy: 0.917
2. n_hidden = 7, n_hidden_layers = 4, lr = 0.001, n_epochs = 100, batch_size = 1, sigmoid_rate = 0, accuracy: 0.875
3. n_hidden = 7, n_hidden_layers = 4, lr = 0.001, n_epochs = 100, batch_size = 1, sigmoid_rate = 0, accuracy: 0.908
4. n_hidden = 7, n_hidden_layers = 4, lr = 0.001, n_epochs = 100, batch_size = 1, sigmoid_rate = 0, accuracy: 0.917
5. n_hidden = 7, n_hidden_layers = 4, lr = 0.001, n_epochs = 100, batch_size = 1, sigmoid_rate = 0, accuracy: 0.875
6. n_hidden = 7, n_hidden_layers = 4, lr = 0.001, n_epochs = 100, batch_size = 1, sigmoid_rate = 0.2, accuracy: 0.8
7. n_hidden = 6, n_hidden_layers = 3, lr = 0.001, n_epochs = 100, batch_size = 1, sigmoid_rate = 0.2, accuracy: 0.817
8. n_hidden = 6, n_hidden_layers = 3, lr = 0.001, n_epochs = 100, batch_size = 1, sigmoid_rate = 0.2, accuracy: 0.933
9. n_hidden = 6, n_hidden_layers = 3, lr = 0.001, n_epochs = 100, batch_size = 1, sigmoid_rate = 0.2, accuracy: 0.875
10. n_hidden = 7, n_hidden_layers = 3, lr = 0.001, n_epochs = 100, batch_size = 1, sigmoid_rate = 0, accuracy: 0.908
11. n_hidden = 7, n_hidden_layers = 3, lr = 0.001, n_epochs = 100, batch_size = 1, sigmoid_rate = 0, accuracy: 0.775
12. n_hidden = 7, n_hidden_layers = 3, lr = 0.001, n_epochs = 100, batch_size = 1, sigmoid_rate = 0.1, accuracy: 0.917
13. n_hidden = 7, n_hidden_layers = 3, lr = 0.001, n_epochs = 100, batch_size = 1, sigmoid_rate = 0.1, accuracy: 0.908
14. n_hidden = 7, n_hidden_layers = 3, lr = 0.001, n_epochs = 100, batch_size = 1, sigmoid_rate = 0.1, accuracy: 0.825
15. n_hidden = 7, n_hidden_layers = 3, lr = 0.001, n_epochs = 200, batch_size = 1, sigmoid_rate = 0.1, accuracy: 0.875
16. n_hidden = 6, n_hidden_layers = 4, lr = 0.001, n_epochs = 200, batch_size = 1, sigmoid_rate = 0, accuracy: 0.825
17. n_hidden = 7, n_hidden_layers = 4, lr = 0.001, n_epochs = 200, batch_size = 1, sigmoid_rate = 0, accuracy: 0.917
18. n_hidden = 7, n_hidden_layers = 4, lr = 0.001, n_epochs = 200, batch_size = 1, sigmoid_rate = 0, accuracy: 0.925
19. n_hidden = 7, n_hidden_layers = 3, lr = 0.001, n_epochs = 200, batch_size = 1, sigmoid_rate = 0.7, accuracy: 0.817
20. n_hidden = 6, n_hidden_layers = 3, lr = 0.001, n_epochs = 200, batch_size = 1, sigmoid_rate = 0.7, accuracy: 0.8
